sessionType,courseName,sessionLength,teacherId,areComputersRequired
LECTURE,Computer Animation Fundamentals,2,1,f
TUTORIAL,Computer Animation Fundamentals,2,2,t
LECTURE,Web Application Design,3,3,f
TUTORIAL,Web Application Design,3,4,f
TUTORIAL,Web Application Design,3,5,f
LECTURE,Image Processing Fundamentals,4,6,f
TUTORIAL,Image Processing Fundamentals,4,7,f
TUTORIAL,Image Processing Fundamentals,4,8,f
TUTORIAL,Image Processing Fundamentals,4,9,f
LECTURE,Computer Vision,2,10,f
TUTORIAL,Computer Vision,2,11,f
TUTORIAL,Computer Vision,2,12,f
TUTORIAL,Computer Vision,2,13,f
TUTORIAL,Computer Vision,2,14,f
LECTURE,Introduction to Robotics,3,15,f
TUTORIAL,Introduction to Robotics,3,16,f
LECTURE,Software Engineering,4,17,f
TUTORIAL,Software Engineering,4,18,t
TUTORIAL,Software Engineering,4,19,t
LECTURE,Software Testing,2,20,f
TUTORIAL,Software Testing,2,21,f
TUTORIAL,Software Testing,2,22,f
TUTORIAL,Software Testing,2,23,f
LECTURE,Introduction to AI,3,24,f
TUTORIAL,Introduction to AI,3,25,f
TUTORIAL,Introduction to AI,3,26,f
TUTORIAL,Introduction to AI,3,27,f
TUTORIAL,Introduction to AI,3,28,f
LECTURE,Big Data Storage and Analysis with Hadoop,4,29,f
TUTORIAL,Big Data Storage and Analysis with Hadoop,4,30,f
LECTURE,Practical Cybersecurity,2,31,f
TUTORIAL,Practical Cybersecurity,2,32,f
TUTORIAL,Practical Cybersecurity,2,33,f
LECTURE,Programming on Massively Parallel Systems,3,34,f
TUTORIAL,Programming on Massively Parallel Systems,3,35,t
TUTORIAL,Programming on Massively Parallel Systems,3,36,t
TUTORIAL,Programming on Massively Parallel Systems,3,37,t
LECTURE,Affective Computing,4,38,f
TUTORIAL,Affective Computing,4,39,f
TUTORIAL,Affective Computing,4,40,f
TUTORIAL,Affective Computing,4,41,f
TUTORIAL,Affective Computing,4,42,f
LECTURE,Network Science,2,43,f
