studentsStreamId,groupNumber,sessionType,courseName,sessionLength,teacherId,areComputersRequired
Computer Science (1) (year: 2),,LECTURE,Introduction to Programming,2,1,f
Computer Science (2) (year: 2),,LECTURE,Introduction to Programming,2,2,f
Computer Science (1) (year: 2),1,TUTORIAL,Introduction to Programming,2,3,t
Computer Science (2) (year: 2),1,TUTORIAL,Introduction to Programming,2,4,t
Computer Science (1) (year: 2),2,TUTORIAL,Introduction to Programming,2,5,t
Computer Science (2) (year: 2),2,TUTORIAL,Introduction to Programming,2,6,t
Computer Science (1) (year: 2),3,TUTORIAL,Introduction to Programming,2,7,t
Computer Science (2) (year: 2),3,TUTORIAL,Introduction to Programming,2,8,t
Computer Science (1) (year: 2),4,TUTORIAL,Introduction to Programming,2,9,t
Computer Science (2) (year: 2),4,TUTORIAL,Introduction to Programming,2,10,t
Computer Science (1) (year: 2),,LECTURE,Object-oriented programming,3,11,f
Computer Science (2) (year: 2),,LECTURE,Object-oriented programming,3,12,f
Computer Science (1) (year: 2),1,TUTORIAL,Object-oriented programming,3,13,f
Computer Science (2) (year: 2),1,TUTORIAL,Object-oriented programming,3,14,f
Computer Science (1) (year: 2),2,TUTORIAL,Object-oriented programming,3,15,f
Computer Science (2) (year: 2),2,TUTORIAL,Object-oriented programming,3,16,f
Computer Science (1) (year: 2),3,TUTORIAL,Object-oriented programming,3,17,f
Computer Science (2) (year: 2),3,TUTORIAL,Object-oriented programming,3,18,f
Computer Science (1) (year: 2),4,TUTORIAL,Object-oriented programming,3,19,f
Computer Science (2) (year: 2),4,TUTORIAL,Object-oriented programming,3,20,f
Computer Science (1) (year: 2),,LECTURE,Dynamic programming,4,21,f
Computer Science (2) (year: 2),,LECTURE,Dynamic programming,4,22,f
Computer Science (1) (year: 2),1,TUTORIAL,Dynamic programming,4,23,f
Computer Science (2) (year: 2),1,TUTORIAL,Dynamic programming,4,24,f
Computer Science (1) (year: 2),2,TUTORIAL,Dynamic programming,4,25,f
Computer Science (2) (year: 2),2,TUTORIAL,Dynamic programming,4,26,f
Computer Science (1) (year: 2),3,TUTORIAL,Dynamic programming,4,27,f
Computer Science (2) (year: 2),3,TUTORIAL,Dynamic programming,4,28,f
Computer Science (1) (year: 2),4,TUTORIAL,Dynamic programming,4,29,f
Computer Science (2) (year: 2),4,TUTORIAL,Dynamic programming,4,30,f
Computer Science (1) (year: 2),,LECTURE,Algorithms,2,31,f
Computer Science (2) (year: 2),,LECTURE,Algorithms,2,32,f
Computer Science (1) (year: 2),1,TUTORIAL,Algorithms,2,33,f
Computer Science (2) (year: 2),1,TUTORIAL,Algorithms,2,34,f
Computer Science (1) (year: 2),2,TUTORIAL,Algorithms,2,35,f
Computer Science (2) (year: 2),2,TUTORIAL,Algorithms,2,36,f
Computer Science (1) (year: 2),3,TUTORIAL,Algorithms,2,37,f
Computer Science (2) (year: 2),3,TUTORIAL,Algorithms,2,38,f
Computer Science (1) (year: 2),4,TUTORIAL,Algorithms,2,39,f
Computer Science (2) (year: 2),4,TUTORIAL,Algorithms,2,40,f
Computer Science (1) (year: 2),,LECTURE,Theory of programming languages,3,41,f
Computer Science (2) (year: 2),,LECTURE,Theory of programming languages,3,42,f
Computer Science (1) (year: 2),1,TUTORIAL,Theory of programming languages,3,43,f
Computer Science (2) (year: 2),1,TUTORIAL,Theory of programming languages,3,44,f
Computer Science (1) (year: 2),2,TUTORIAL,Theory of programming languages,3,45,f
Computer Science (2) (year: 2),2,TUTORIAL,Theory of programming languages,3,46,f
Computer Science (1) (year: 2),3,TUTORIAL,Theory of programming languages,3,47,f
Computer Science (2) (year: 2),3,TUTORIAL,Theory of programming languages,3,48,f
Computer Science (1) (year: 2),4,TUTORIAL,Theory of programming languages,3,49,f
Computer Science (2) (year: 2),4,TUTORIAL,Theory of programming languages,3,50,f
Statistics (year: 1),,LECTURE,Compilers and language theory,4,51,f
Statistics (year: 1),1,TUTORIAL,Compilers and language theory,4,52,t
Statistics (year: 1),,LECTURE,Introduction to Programming in Java,2,53,f
Statistics (year: 1),1,TUTORIAL,Introduction to Programming in Java,2,54,f
Statistics (year: 1),,LECTURE,WEB programming,3,55,f
Statistics (year: 1),1,TUTORIAL,WEB programming,3,56,f
Statistics (year: 1),,LECTURE,Software project management,4,57,f
Statistics (year: 1),1,TUTORIAL,Software project management,4,58,f
Statistics (year: 1),,LECTURE,Databases,2,59,f
Statistics (year: 1),1,TUTORIAL,Databases,2,60,f
Mathematics and Informatics (year: 2),,LECTURE,Modelling,3,61,f
Mathematics and Informatics (year: 2),1,TUTORIAL,Modelling,3,62,t
Mathematics and Informatics (year: 2),2,TUTORIAL,Modelling,3,63,t
Mathematics and Informatics (year: 2),3,TUTORIAL,Modelling,3,64,t
Mathematics and Informatics (year: 2),4,TUTORIAL,Modelling,3,65,t
Mathematics and Informatics (year: 2),,LECTURE,User interfaces,4,66,f
Mathematics and Informatics (year: 2),1,TUTORIAL,User interfaces,4,67,f
Mathematics and Informatics (year: 2),2,TUTORIAL,User interfaces,4,68,f
Mathematics and Informatics (year: 2),3,TUTORIAL,User interfaces,4,69,f
Mathematics and Informatics (year: 2),4,TUTORIAL,User interfaces,4,70,f
Mathematics and Informatics (year: 2),,LECTURE,Software testing,2,71,f
Mathematics and Informatics (year: 2),1,TUTORIAL,Software testing,2,72,f
Mathematics and Informatics (year: 2),2,TUTORIAL,Software testing,2,73,f
Mathematics and Informatics (year: 2),3,TUTORIAL,Software testing,2,74,f
Mathematics and Informatics (year: 2),4,TUTORIAL,Software testing,2,75,f
Mathematics and Informatics (year: 2),,LECTURE,Software quality assurance test,3,76,f
Mathematics and Informatics (year: 2),1,TUTORIAL,Software quality assurance test,3,77,f
Mathematics and Informatics (year: 2),2,TUTORIAL,Software quality assurance test,3,78,f
Mathematics and Informatics (year: 2),3,TUTORIAL,Software quality assurance test,3,79,f
Mathematics and Informatics (year: 2),4,TUTORIAL,Software quality assurance test,3,80,f
Mathematics and Informatics (year: 2),,LECTURE,Service Oriented Architecture,4,81,f
Mathematics and Informatics (year: 2),1,TUTORIAL,Service Oriented Architecture,4,82,f
Mathematics and Informatics (year: 2),2,TUTORIAL,Service Oriented Architecture,4,83,f
Mathematics and Informatics (year: 2),3,TUTORIAL,Service Oriented Architecture,4,84,f
Mathematics and Informatics (year: 2),4,TUTORIAL,Service Oriented Architecture,4,85,f
Software Engineering (year: 3),,LECTURE,Computer Graphics Programming,2,86,f
Software Engineering (year: 3),1,TUTORIAL,Computer Graphics Programming,2,87,t
Software Engineering (year: 3),2,TUTORIAL,Computer Graphics Programming,2,88,t
Software Engineering (year: 3),3,TUTORIAL,Computer Graphics Programming,2,89,t
Software Engineering (year: 3),4,TUTORIAL,Computer Graphics Programming,2,90,t
Software Engineering (year: 3),5,TUTORIAL,Computer Graphics Programming,2,91,t
Software Engineering (year: 3),,LECTURE,Information theory,3,92,f
Software Engineering (year: 3),1,TUTORIAL,Information theory,3,93,f
Software Engineering (year: 3),2,TUTORIAL,Information theory,3,94,f
Software Engineering (year: 3),3,TUTORIAL,Information theory,3,95,f
Software Engineering (year: 3),4,TUTORIAL,Information theory,3,96,f
Software Engineering (year: 3),5,TUTORIAL,Information theory,3,97,f
