major,year,groups
Software Engineering,1,6
Software Engineering,2,6
Software Engineering,3,5
Software Engineering,4,5
Computer Science (1),1,4
Computer Science (1),2,4
Computer Science (1),3,4
Computer Science (1),4,4
Computer Science (2),1,4
Computer Science (2),2,4
Computer Science (2),3,4
Computer Science (2),4,4
Information Systems,1,4
Information Systems,2,4
Information Systems,3,3
Information Systems,4,3
Informatics,1,6
Informatics,2,4
Informatics,3,3
Informatics,4,3
Mathematics,1,1
Mathematics,2,1
Mathematics,3,1
Mathematics,4,1
Applied Mathematics,1,2
Applied Mathematics,2,2
Applied Mathematics,3,2
Applied Mathematics,4,2
Statistics,1,1
Statistics,2,1
Statistics,3,1
Statistics,4,1
Mathematics and Informatics,1,4
Mathematics and Informatics,2,4
Mathematics and Informatics,3,4
Mathematics and Informatics,4,4
